state,district,year,max_murder
BIHAR,PATNA,2004,542
BIHAR,PATNA,2003,484
BIHAR,PATNA,2002,472
BIHAR,PATNA,2005,436
BIHAR,PATNA,2001,434
BIHAR,PATNA,2012,356
BIHAR,PATNA,2008,341
BIHAR,PATNA,2006,338
"UTTAR PRADESH",MUZAFFARNAGAR,2001,324
BIHAR,PATNA,2007,317
BIHAR,PATNA,2009,314
BIHAR,PATNA,2010,304
MAHARASHTRA,MUMBAI,2001,295
"UTTAR PRADESH",MUZAFFARNAGAR,2002,287
"UTTAR PRADESH",MEERUT,2001,275
"UTTAR PRADESH",BAREILLY,2001,272
JHARKHAND,RANCHI,2002,270
JHARKHAND,RANCHI,2004,270
"WEST BENGAL","PASCHIM MIDNAPUR",2010,268
KARNATAKA,"BANGALORE COMMR.",2010,266
KARNATAKA,"BANGALORE COMMR.",2012,266
"WEST BENGAL","24 PARGANAS SOUTH",2010,263
KARNATAKA,"BANGALORE COMMR.",2009,256
"UTTAR PRADESH",GHAZIABAD,2009,254
KARNATAKA,"BANGALORE COMMR.",2008,253
MAHARASHTRA,MUMBAI,2004,253
"UTTAR PRADESH",MUZAFFARNAGAR,2004,253
JHARKHAND,RANCHI,2006,253
MAHARASHTRA,MUMBAI,2002,252
"UTTAR PRADESH",BULANDSHAHAR,2001,250
JHARKHAND,RANCHI,2003,250
BIHAR,PATNA,2011,248
"WEST BENGAL","24 PARGANAS SOUTH",2011,247
KARNATAKA,"BANGALORE COMMR.",2007,246
"WEST BENGAL","24 PARGANAS NORTH",2010,244
JHARKHAND,RANCHI,2001,243
MAHARASHTRA,MUMBAI,2003,242
KARNATAKA,"BANGALORE COMMR.",2005,242
"UTTAR PRADESH",ETAH,2001,240
"UTTAR PRADESH",BADAUN,2001,239
JHARKHAND,RANCHI,2005,239
MAHARASHTRA,"MUMBAI COMMR.",2006,239
"WEST BENGAL","24 PARGANAS SOUTH",2008,239
"UTTAR PRADESH",BAREILLY,2002,237
KARNATAKA,"BANGALORE COMMR.",2011,232
"WEST BENGAL","24 PARGANAS NORTH",2011,232
"UTTAR PRADESH",GHAZIABAD,2002,231
"UTTAR PRADESH",GHAZIABAD,2001,230
"UTTAR PRADESH",MEERUT,2002,230
BIHAR,GAYA,2003,230
"UTTAR PRADESH",MUZAFFARNAGAR,2006,230
MAHARASHTRA,"MUMBAI COMMR.",2007,230
"WEST BENGAL","24 PARGANAS NORTH",2009,229
"UTTAR PRADESH",ALIGARH,2001,229
MAHARASHTRA,"MUMBAI COMMR.",2010,228
"UTTAR PRADESH",MEERUT,2004,225
"UTTAR PRADESH",BAREILLY,2005,224
"WEST BENGAL","24 PARGANAS SOUTH",2012,224
GUJARAT,"AHMEDABAD COMMR.",2002,222
KARNATAKA,"BANGALORE COMMR.",2001,221
BIHAR,NALANDA,2004,220
BIHAR,GAYA,2002,218
KARNATAKA,"BANGALORE COMMR.",2006,218
"UTTAR PRADESH",BULANDSHAHAR,2002,217
MAHARASHTRA,"MUMBAI COMMR.",2009,217
"UTTAR PRADESH",GHAZIABAD,2010,216
KARNATAKA,"BANGALORE COMMR.",2003,216
MAHARASHTRA,"MUMBAI COMMR.",2012,215
"ANDHRA PRADESH","RANGA REDDY",2001,214
"ANDHRA PRADESH","RANGA REDDY",2002,214
KARNATAKA,"BANGALORE COMMR.",2004,214
"UTTAR PRADESH",BAREILLY,2004,214
"UTTAR PRADESH",MORADABAD,2001,213
"UTTAR PRADESH",MUZAFFARNAGAR,2007,213
"ANDHRA PRADESH",CYBERABAD,2011,213
"WEST BENGAL","24 PARGANAS SOUTH",2009,212
"UTTAR PRADESH",BADAUN,2004,212
"ANDHRA PRADESH",MAHABOOBNAGAR,2005,212
MAHARASHTRA,MUMBAI,2005,212
"UTTAR PRADESH","KANPUR NAGAR",2001,210
"UTTAR PRADESH",ETAH,2002,210
"UTTAR PRADESH",SHAHJAHANPUR,2002,210
"ANDHRA PRADESH",GUNTUR,2003,210
MAHARASHTRA,"MUMBAI COMMR.",2008,210
JHARKHAND,RANCHI,2008,209
BIHAR,NALANDA,2001,208
"UTTAR PRADESH",MUZAFFARNAGAR,2005,207
"UTTAR PRADESH",BADAUN,2002,206
"WEST BENGAL","24 PARGANAS NORTH",2002,204
JHARKHAND,RANCHI,2007,203
MAHARASHTRA,"MUMBAI COMMR.",2011,203
JHARKHAND,RANCHI,2009,202
"UTTAR PRADESH",MEERUT,2012,202
"WEST BENGAL","24 PARGANAS NORTH",2001,202
"UTTAR PRADESH","KANPUR NAGAR",2002,202
KARNATAKA,"BANGALORE COMMR.",2002,201
JHARKHAND,GUMLA,2011,201
BIHAR,GAYA,2001,200
"UTTAR PRADESH",BULANDSHAHAR,2004,199
"UTTAR PRADESH",MEERUT,2005,199
"UTTAR PRADESH",BULANDSHAHAR,2005,198
"WEST BENGAL","PASCHIM MIDNAPUR",2009,198
"ANDHRA PRADESH",CYBERABAD,2012,198
BIHAR,MUZAFFARPUR,2012,198
"ANDHRA PRADESH",CYBERABAD,2008,197
"UTTAR PRADESH",SHAHJAHANPUR,2001,196
"UTTAR PRADESH",MEERUT,2007,195
"UTTAR PRADESH",MUZAFFARNAGAR,2009,195
"WEST BENGAL","24 PARGANAS NORTH",2007,194
"UTTAR PRADESH",BAREILLY,2003,194
"UTTAR PRADESH",MORADABAD,2004,194
"UTTAR PRADESH",LUCKNOW,2005,194
"UTTAR PRADESH",MEERUT,2003,193
"WEST BENGAL","24 PARGANAS NORTH",2003,193
"UTTAR PRADESH",ALIGARH,2004,193
"ANDHRA PRADESH",CYBERABAD,2006,193
"WEST BENGAL","24 PARGANAS NORTH",2008,192
JHARKHAND,GUMLA,2012,192
"ANDHRA PRADESH",MAHABOOBNAGAR,2003,191
"ANDHRA PRADESH",MAHABOOBNAGAR,2006,191
"UTTAR PRADESH",GHAZIABAD,2004,190
"UTTAR PRADESH",MEERUT,2011,189
"ANDHRA PRADESH",MAHABOOBNAGAR,2008,188
"ANDHRA PRADESH",MAHABOOBNAGAR,2011,188
"ANDHRA PRADESH",CYBERABAD,2010,187
"UTTAR PRADESH","KANPUR NAGAR",2003,187
"UTTAR PRADESH",MUZAFFARNAGAR,2003,186
"ANDHRA PRADESH",CYBERABAD,2007,186
"ANDHRA PRADESH",CYBERABAD,2009,186
"WEST BENGAL",MURSHIDABAD,2010,185
"UTTAR PRADESH",MEERUT,2006,185
"ANDHRA PRADESH",ANANTAPUR,2006,184
"WEST BENGAL",MURSHIDABAD,2009,184
JHARKHAND,RANCHI,2010,183
"ANDHRA PRADESH",MAHABOOBNAGAR,2004,183
"UTTAR PRADESH",GHAZIABAD,2005,183
"ANDHRA PRADESH",GUNTUR,2001,182
"UTTAR PRADESH",HARDOI,2001,182
"UTTAR PRADESH",BADAUN,2003,182
"ANDHRA PRADESH",MAHABOOBNAGAR,2012,182
"UTTAR PRADESH",AGRA,2011,181
"TAMIL NADU",CHENNAI,2012,180
BIHAR,MUZAFFARPUR,2004,180
"UTTAR PRADESH",BAREILLY,2006,180
"UTTAR PRADESH",BADAUN,2005,179
"UTTAR PRADESH",ALIGARH,2002,178
"UTTAR PRADESH",MORADABAD,2002,178
"WEST BENGAL","24 PARGANAS NORTH",2004,177
"UTTAR PRADESH",ALIGARH,2006,177
"UTTAR PRADESH",BULANDSHAHAR,2006,177
"ANDHRA PRADESH",MAHABOOBNAGAR,2010,177
"UTTAR PRADESH",ALIGARH,2012,177
"UTTAR PRADESH",MORADABAD,2010,176
"UTTAR PRADESH",GHAZIABAD,2003,176
"UTTAR PRADESH",LUCKNOW,2003,176
"UTTAR PRADESH",ALIGARH,2005,176
KARNATAKA,"BANGALORE RURAL",2007,176
BIHAR,NALANDA,2002,175
"UTTAR PRADESH",LUCKNOW,2002,175
KARNATAKA,"BANGALORE RURAL",2006,175
"UTTAR PRADESH",MEERUT,2009,175
"WEST BENGAL",MURSHIDABAD,2012,174
"ANDHRA PRADESH",ANANTAPUR,2012,173
"ANDHRA PRADESH",ANANTAPUR,2003,173
"UTTAR PRADESH",LUCKNOW,2004,173
"ANDHRA PRADESH",MAHABOOBNAGAR,2007,173
"UTTAR PRADESH",KHIRI,2001,172
"ANDHRA PRADESH",ANANTAPUR,2005,172
"ANDHRA PRADESH",MAHABOOBNAGAR,2002,171
BIHAR,NALANDA,2003,171
KARNATAKA,"BANGALORE RURAL",2005,171
"ANDHRA PRADESH",ANANTAPUR,2011,171
"WEST BENGAL","PASCHIM MIDNAPUR",2011,171
BIHAR,MOTIHARI,2010,169
"UTTAR PRADESH",BADAUN,2006,169
"UTTAR PRADESH",MORADABAD,2005,168
"WEST BENGAL","24 PARGANAS NORTH",2005,168
"UTTAR PRADESH","KANPUR NAGAR",2008,168
"UTTAR PRADESH",MUZAFFARNAGAR,2008,168
JHARKHAND,GUMLA,2009,168
"UTTAR PRADESH",MUZAFFARNAGAR,2010,168
"TAMIL NADU",CHENNAI,2011,168
"UTTAR PRADESH",ALIGARH,2011,168
"UTTAR PRADESH",ALLAHABAD,2001,167
"UTTAR PRADESH",SITAPUR,2002,167
"UTTAR PRADESH",LUCKNOW,2006,167
"UTTAR PRADESH",LUCKNOW,2001,166
"ANDHRA PRADESH",ANANTAPUR,2002,166
"UTTAR PRADESH",ALIGARH,2007,166
"UTTAR PRADESH",MEERUT,2008,166
"ANDHRA PRADESH",GUNTUR,2005,165
"ANDHRA PRADESH",KARIMNAGAR,2005,164
"UTTAR PRADESH",MEERUT,2010,164
MAHARASHTRA,"PUNE RURAL",2012,163
"ANDHRA PRADESH",GUNTUR,2004,163
BIHAR,GAYA,2004,163
"ANDHRA PRADESH",KARIMNAGAR,2001,162
"UTTAR PRADESH",SITAPUR,2001,162
"UTTAR PRADESH",SHAHJAHANPUR,2003,162
"UTTAR PRADESH",BULANDSHAHAR,2011,162
"UTTAR PRADESH",GHAZIABAD,2011,162
"ANDHRA PRADESH",KARIMNAGAR,2002,160
BIHAR,SARAN,2004,160
"UTTAR PRADESH",LUCKNOW,2007,159
"ANDHRA PRADESH",GUNTUR,2008,159
"UTTAR PRADESH","KANPUR NAGAR",2011,159
"WEST BENGAL","24 PARGANAS SOUTH",2007,158
JHARKHAND,GUMLA,2008,158
"ANDHRA PRADESH",MAHABOOBNAGAR,2009,158
"ANDHRA PRADESH",WARANGAL,2001,158
"UTTAR PRADESH",AGRA,2002,158
BIHAR,BHOJPUR,2005,158
BIHAR,GAYA,2005,158
BIHAR,GAYA,2006,158
"ANDHRA PRADESH",MAHABOOBNAGAR,2001,157
BIHAR,ROHTAS,2003,157
"ANDHRA PRADESH",GUNTUR,2007,157
BIHAR,GAYA,2007,157
"UTTAR PRADESH",ALIGARH,2003,156
"UTTAR PRADESH",MORADABAD,2003,156
"ANDHRA PRADESH",KURNOOL,2010,156
"UTTAR PRADESH",ALLAHABAD,2011,156
BIHAR,GAYA,2009,155
BIHAR,GAYA,2011,155
"ANDHRA PRADESH",CYBERABAD,2003,155
"ANDHRA PRADESH",GUNTUR,2006,155
"WEST BENGAL","24 PARGANAS NORTH",2006,154
"ANDHRA PRADESH",ANANTAPUR,2008,154
BIHAR,MUZAFFARPUR,2011,154
"ANDHRA PRADESH",NIZAMABAD,2008,153
"ANDHRA PRADESH","HYDERABAD CITY",2009,153
JHARKHAND,GUMLA,2010,153
"ANDHRA PRADESH",KURNOOL,2011,153
BIHAR,GAYA,2012,153
BIHAR,MUZAFFARPUR,2001,153
"UTTAR PRADESH",AGRA,2001,153
KARNATAKA,"BANGALORE RURAL",2002,153
"ANDHRA PRADESH",KARIMNAGAR,2003,153
"WEST BENGAL",JALPAIGURI,2001,152
"ANDHRA PRADESH",ANANTAPUR,2004,152
KARNATAKA,"BANGALORE RURAL",2004,152
"UTTAR PRADESH",SITAPUR,2004,152
MAHARASHTRA,"THANE RURAL",2006,152
"UTTAR PRADESH",AGRA,2012,152
JHARKHAND,RANCHI,2011,151
"UTTAR PRADESH","KANPUR NAGAR",2012,151
"ANDHRA PRADESH",ANANTAPUR,2001,151
"UTTAR PRADESH",MORADABAD,2006,151
"ANDHRA PRADESH",NIZAMABAD,2007,151
"ANDHRA PRADESH",CYBERABAD,2005,150
BIHAR,NALANDA,2005,150
"UTTAR PRADESH","KANPUR NAGAR",2005,150
"UTTAR PRADESH",GHAZIABAD,2007,150
"ANDHRA PRADESH",GUNTUR,2009,150
BIHAR,MUZAFFARPUR,2009,150
"UTTAR PRADESH","KANPUR NAGAR",2010,150
"ANDHRA PRADESH",KARIMNAGAR,2011,150
MAHARASHTRA,"THANE RURAL",2003,149
"UTTAR PRADESH","KANPUR NAGAR",2004,149
"ANDHRA PRADESH",ANANTAPUR,2007,149
"UTTAR PRADESH",ETAH,2004,148
"UTTAR PRADESH","KANPUR NAGAR",2007,148
BIHAR,MUZAFFARPUR,2010,148
MAHARASHTRA,"PUNE RURAL",2011,148
MAHARASHTRA,"THANE RURAL",2008,147
MAHARASHTRA,"THANE RURAL",2011,147
"UTTAR PRADESH",UNNAO,2001,147
BIHAR,BHOJPUR,2002,147
"ANDHRA PRADESH",KARIMNAGAR,2006,147
"UTTAR PRADESH",ALLAHABAD,2002,146
"UTTAR PRADESH",GHAZIABAD,2006,146
"UTTAR PRADESH",BULANDSHAHAR,2007,146
MAHARASHTRA,"PUNE RURAL",2008,146
MAHARASHTRA,"THANE RURAL",2012,146
"UTTAR PRADESH",GHAZIABAD,2012,146
"WEST BENGAL",NADIA,2012,146
"TAMIL NADU",CHENNAI,2007,145
KARNATAKA,GULBARGA,2009,145
"WEST BENGAL",MURSHIDABAD,2011,145
JHARKHAND,RANCHI,2012,145
BIHAR,BEGUSARAI,2003,145
"ANDHRA PRADESH",CYBERABAD,2004,145
"UTTAR PRADESH",ETAH,2005,145
"JAMMU & KASHMIR",BARAMULLA,2001,144
"UTTAR PRADESH",KHIRI,2002,144
"UTTAR PRADESH",BULANDSHAHAR,2003,144
MAHARASHTRA,"THANE RURAL",2004,144
"UTTAR PRADESH",ALLAHABAD,2004,144
"UTTAR PRADESH",ALLAHABAD,2005,144
"UTTAR PRADESH","KANPUR NAGAR",2006,144
JHARKHAND,CHAIBASA,2012,144
"UTTAR PRADESH",ALLAHABAD,2007,143
"UTTAR PRADESH",ALLAHABAD,2008,143
"UTTAR PRADESH",GHAZIABAD,2008,143
"UTTAR PRADESH",ALIGARH,2009,143
"UTTAR PRADESH","KANPUR NAGAR",2009,143
"ANDHRA PRADESH",GUNTUR,2002,143
BIHAR,NALANDA,2006,143
ASSAM,TINSUKIA,2007,143
BIHAR,MUZAFFARPUR,2007,143
"ANDHRA PRADESH",NALGONDA,2003,142
"UTTAR PRADESH",SITAPUR,2005,142
KARNATAKA,BELGAUM,2012,142
"UTTAR PRADESH",ETAH,2007,141
MAHARASHTRA,"PUNE RURAL",2010,141
"ANDHRA PRADESH",MEDAK,2011,141
"UTTAR PRADESH",LUCKNOW,2012,141
"JAMMU & KASHMIR",KUPWARA,2001,141
MAHARASHTRA,"PUNE RURAL",2002,141
MAHARASHTRA,"THANE RURAL",2001,140
"WEST BENGAL","24 PARGANAS SOUTH",2002,140
"ANDHRA PRADESH",KURNOOL,2005,140
JHARKHAND,GUMLA,2005,140
MAHARASHTRA,"THANE RURAL",2005,140
"ANDHRA PRADESH",MEDAK,2008,140
"ANDHRA PRADESH",ANANTAPUR,2009,140
"UTTAR PRADESH",BULANDSHAHAR,2012,140
"WEST BENGAL","24 PARGANAS NORTH",2012,140
"UTTAR PRADESH",ALIGARH,2008,139
"ANDHRA PRADESH",KARIMNAGAR,2010,139
BIHAR,GAYA,2010,139
"MADHYA PRADESH",JHABUA,2004,139
"UTTAR PRADESH",SHAHJAHANPUR,2005,139
CHHATTISGARH,BIZAPUR,2006,139
BIHAR,BEGUSARAI,2002,138
"UTTAR PRADESH",FIROZABAD,2002,138
"ANDHRA PRADESH",NALGONDA,2005,138
"UTTAR PRADESH",ETAH,2006,138
"WEST BENGAL","24 PARGANAS SOUTH",2006,138
"UTTAR PRADESH",BAREILLY,2007,138
BIHAR,BHOJPUR,2008,138
BIHAR,MUZAFFARPUR,2008,138
MAHARASHTRA,"THANE RURAL",2009,138
MAHARASHTRA,"PUNE COMMR.",2008,137
"ANDHRA PRADESH",ANANTAPUR,2010,137
BIHAR,SARAN,2001,137
KARNATAKA,"BANGALORE RURAL",2001,137
"UTTAR PRADESH",ETAH,2003,137
"UTTAR PRADESH",SHAHJAHANPUR,2004,137
JHARKHAND,GUMLA,2007,137
JHARKHAND,GUMLA,2001,136
